Location Code,Location Name,Location Display Name,Location Type,Parent Location Code,Active Status,Test Location,Timezone,Address Line 1,Address Line 2,City,State,Zip Code,Country,Phone Number,Phone Ext.,Email,Latitude,Longitude,Location Color,Auto-Wrap Time,Show Signed in Users,Enable Wait Smarter,Allow remote check-in,Cutoff Before Closing,Check In Lead Time,Use Appointments,Future Availability Window,Appointment Cutoff Window,Summary Email Notification Time,Reminder Email Notification Time,Reminder text message notification time,Lead time for appointment booking,Concurrency Mode,Max. no of Appointments,Float Priority Mode,Change Appointemnt Status,Appointment status to change,Allow request staff,Show in widget,Use Events
"b108a08f-1663-4755-a545-bd07e5c5074e","2gq92-Tulare-burgh","2gq92-Tulare-burgh","Department","Default","0","Default","Tokyo Standard Time","8586 Vickie Meadow","Suite 969","Georgetown","New Hampshire","66077-2874","Congo","295-419-1815","1","Magnolia.Frami@gmail.com","29.0247","-108.4552","RGB(235,59,244)","11:35:04","0","0","1","11:35:04","11:35:04","1","37","84","11:35:04","1","0","0","null","77","2","0","Assigned","0","1","1"
"f6a662c9-9a27-40bb-badb-0268806bcf0b","ki2bb-Harrisonburg-bury","ki2bb-Harrisonburg-bury","Region","Default","1","Default","Pacific SA Standard Time","9487 Tania Summit","Suite 894","Jodychester","Rhode Island","94616-5785","Tokelau","803-659-2071","0","Aglae_Halvorson@yahoo.com","-9.7415","21.1372","RGB(164,33,226)","11:35:04","0","1","1","11:35:04","11:35:04","1","37","48","11:35:04","0","1","2","null","70","1","1","Completed","0","1","1"
"3c109ca0-87fe-4465-96b8-d9ecf421dc60","0fywv-Deltona-ton","0fywv-Deltona-ton","Area","Default","0","Default","Eastern Standard Time","741 Von Parkway","Suite 319","Bayonne","Kentucky","47966-6641","Moldova","778-141-2808","2","Hazle.Huels@hotmail.com","79.0621","130.3284","RGB(143,22,94)","11:35:04","0","0","0","11:35:04","11:35:04","1","93","32","11:35:04","1","2","2","null","95","2","1","Cancelled","1","1","0"
"e2bd388e-e77e-4c12-90e5-0749c477c245","4ino2-Killeen-berg","4ino2-Killeen-berg","Branch","Default","1","Default","Argentina Standard Time","411 Zboncak Viaduct","Apt. 351","Lake Ridge","Kentucky","74719","Australia","957-717-1372","2","Amelia97@yahoo.com","-72.4493","32.5026","RGB(236,49,125)","11:35:04","1","0","0","11:35:04","11:35:04","0","16","48","11:35:04","0","1","0","null","55","2","0","Completed","1","0","1"
"1379cfa5-c78b-49d8-9b7c-99453580da87","6hd9r-New Britain-bury","6hd9r-New Britain-bury","Organization","Default","0","Default","Atlantic Standard Time","9645 McDermott View","Apt. 449","Mesa","Maine","03064-0548","Spain","226-341-9486","2","Kailyn_Schroeder@yahoo.com","-58.4521","15.1047","RGB(218,30,70)","11:35:04","1","1","1","11:35:04","11:35:04","0","27","62","11:35:04","0","1","2","null","85","2","0","Added","1","1","1"
"41f4b583-87aa-4fc8-bd7c-caab1943428b","gk2h1-Downey-borough","gk2h1-Downey-borough","Branch","Default","1","Default","Mauritius Standard Time","76780 Ellis Ridges","Apt. 492","South Trace","Florida","75081","Virgin Islands, U.S.","886-476-3626","2","Mariane14@hotmail.com","64.52","-176.8021","RGB(211,252,251)","11:35:04","1","1","0","11:35:04","11:35:04","0","41","15","11:35:04","0","1","2","null","31","1","0","Assigned","1","0","0"
"1309b445-c883-4a9e-84a0-624f6f389520","8xtn1-Cape Coral-furt","8xtn1-Cape Coral-furt","Holding Company","Default","1","Default","Azores Standard Time","6590 Orville Vista","Apt. 897","Ezekielside","Missouri","95055-7303","Sao Tome and Principe","520-571-7739","2","Taylor_Wilderman@hotmail.com","-41.0391","40.4907","RGB(35,73,52)","11:35:04","0","1","0","11:35:04","11:35:04","1","61","52","11:35:04","1","2","2","null","28","1","1","Completed","0","0","0"
"e4faae56-edb4-4be8-af48-3f0f1da60ef5","p98ge-St. Clair Shores-mouth","p98ge-St. Clair Shores-mouth","Branch","Default","1","Default","Sri Lanka Standard Time","45625 Geovanni Forks","Suite 453","Emieside","Pennsylvania","21340","Haiti","267-591-1157","1","Delpha.Braun28@hotmail.com","28.6234","55.7943","RGB(185,138,155)","11:35:04","0","0","1","11:35:04","11:35:04","1","23","55","11:35:04","0","1","0","null","83","2","1","Cancelled","0","1","0"
"76aa8eac-a3b6-4474-83c3-b11b6975bfb3","693oe-Leesburg-view","693oe-Leesburg-view","Organization","Default","1","Default","Myanmar Standard Time","775 Tatum Inlet","Apt. 026","South Danaburgh","Wisconsin","62332","Moldova","349-975-3868","2","Lia97@gmail.com","-35.8031","148.119","RGB(215,69,130)","11:35:04","1","1","0","11:35:04","11:35:04","1","100","44","11:35:04","1","2","0","null","32","2","1","Assigned","0","1","1"
"5ce108fc-7912-48e6-a138-c452bd48d245","i41kl-Chesterfield-berg","i41kl-Chesterfield-berg","Area","Default","0","Default","SE Asia Standard Time","146 Dexter Club","Apt. 849","Lake Deion","Arizona","29078","Morocco","355-481-4338","4","Shawna_Predovic73@gmail.com","-75.003","145.2004","RGB(7,154,8)","11:35:04","0","1","0","11:35:04","11:35:04","0","94","24","11:35:04","2","0","1","null","21","2","1","Completed","0","1","1"
