ClientName,LocationName,LocationTypeName,TimezoneName,Lat,Long
"Blick and Sons","Mission","Department","Asia/Bangkok","-62.1799","-139.4396"
"Miller, Haley and Botsford","Pinellas Park","Holding Company","Europe/Berlin","18.8377","135.3810"
"Torphy, McClure and Hermiston","Salem","Department","Australia/Melbourne","-47.0220","-167.5902"
"Daugherty LLC","Garden Grove","Organization","Australia/Melbourne","21.7851","67.4332"
"Hammes, Heidenreich and Hessel","Castle Rock","undefined","Asia/Kabul","41.8495","-134.7614"
"Bechtelar - Weimann","Euclid","Branch","Africa/Cairo","66.6629","63.9423"
"Feest, Little and Dietrich","Conway","Area","Asia/Kolkata","66.5823","-55.2512"
"Medhurst Inc","South Gate","Area","Asia/Dhaka","-68.1657","171.3384"
"Kuphal - Schultz","Roseville","Area","America/Bogota","-86.9008","-122.1371"
"Hane - Langosh","Rancho Cucamonga","undefined","Africa/Algiers","-79.0599","30.6092"
"Halvorson - Frami","Hesperia","Department","Africa/Monrovia","2.3289","86.7053"
"Murray - Kshlerin","Beavercreek","Organization","America/Bogota","-83.1167","151.7816"
"Mraz - Pollich","Bryan","undefined","Pacific/Majuro","-80.2406","-81.7650"
"Hermann, Gleason and McKenzie","Grand Rapids","Region","Pacific/Tongatapu","-51.7229","49.1240"
"Wehner - Stamm","Augusta-Richmond County","Organization","America/Bogota","-23.9811","-20.5979"
"Wiegand - Greenholt","Valdosta","Branch","Asia/Baku","64.4664","73.3688"
"Heathcote, Bradtke and Bogan","Attleboro","Holding Company","Pacific/Majuro","-78.1675","34.2031"
"Runolfsdottir, Towne and Hansen","Cincinnati","Holding Company","Europe/Stockholm","6.2340","-122.1224"
"Torphy Group","Charleston","Department","America/Sao_Paulo","-75.4088","-132.0115"
"Abernathy - Konopelski","Severn","Organization","Asia/Hong_Kong","7.7234","53.1804"
"Robel, Schowalter and Green","Danville","Department","America/Argentina/Buenos_Aires","-3.2538","70.7901"
"Herzog, Prosacco and Runolfsdottir","Reading","undefined","Asia/Colombo","-2.8329","166.5991"
"Torphy - Yost","Plainfield","Area","Africa/Casablanca","53.7360","85.3541"
"Kuhlman Inc","Evanston","Holding Company","Europe/Athens","6.0144","-112.2805"
"Howell, Reilly and Barrows","Santa Cruz","Region","Europe/Minsk","44.3421","-45.6594"
"Champlin LLC","Hemet","Holding Company","Asia/Hong_Kong","8.8472","35.6028"
